Id da Delegacia (RDO),Número do Bo (RDO),Ano do BO (RDO),Data do Óbito,Data do Acidente,Tipo de via,Dia do óbito,Mês do Óbito,Mês Óbito Descrição,Ano do Óbito,Ano/Mês do Óbito,Dia da Semana,Hora do Acidente,Turno,Município,Região Administrativa,Logradouro,Númeral / KM,Jurisdição,Administração,Conservação,Tipo do local da ocorrência,LAT_(GEO),LONG_(GEO),Tipo do veículo da vítima,Tipo de vítima,Local do óbito,Tipo de acidente,Sub Tipo do Acidente,Tempo entre o Acidente e o óbito,Sexo,Faixa etária,Idade da vítima,Outro Veículo Envolvido
90627,1974,2017,2017-11-29,2017-11-19,Vias Municipais,29,11,NOVEMBRO,2017,2017.11,DOMINGO,7:52:00,MANHA,PRESIDENTE EPITACIO,Presidente Prudente,VICINAL HELIO GOMES,NAO DISPONIVEL,MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-21.730198,-52.051071,AUTOMOVEL,CONDUTOR,ESTABELECIMENTO DE SAUDE,OUTROS,,Até 30 dias,MASCULINO,30-34,33.0,NAO DISPONIVEL
110709,1582,2017,2017-11-28,2017-11-28,NAO DISPONIVEL,28,11,NOVEMBRO,2017,2017.11,TERÇA,3:36:00,MADRUGADA,FERNANDOPOLIS,São José do Rio Preto,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,,,MOTOCICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,CHOQUE,,Mesmo dia,MASCULINO,40-44,40.0,NAO DISPONIVEL
120414,2394,2017,2017-11-28,2017-11-28,Rodovias,28,11,NOVEMBRO,2017,2017.11,TERÇA,21:00:00,NOITE,GUAPIARA,Itapeva,SP 250,"261,5",ESTADUAL,DER,DR02 - Itapetininga,PUBLICO,-24.1861015384199,-48.5326121607973,PEDESTRE,PEDESTRE,VIA,ATROPELAMENTO,,Mesmo dia,MASCULINO,50-54,52.0,NAO DISPONIVEL
50308,13758,2017,2017-11-28,2017-11-28,Rodovias,28,11,NOVEMBRO,2017,2017.11,TERÇA,1:20:00,MADRUGADA,GUARARAPES,Araçatuba,SP 300,"558,8",ESTADUAL,CONCESSIONÁRIA,VIARONDON,PUBLICO,-21.2136565036117,-50.7019630360045,ONIBUS,CONDUTOR,VIA,COLISAO,,Mesmo dia,MASCULINO,35-39,38.0,CAMINHAO
70935,3082,2017,2017-11-28,2017-11-25,NAO DISPONIVEL,28,11,NOVEMBRO,2017,2017.11,SÁBADO,NAO DISPONIVEL,NAO DISPONIVEL,AMPARO,Campinas,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,,,NAO DISPONIVEL,NAO DISPONIVEL,ESTABELECIMENTO DE SAUDE,NAO DISPONIVEL,,Até 7 dias,MASCULINO,25-29,28.0,NAO DISPONIVEL
70934,9537,2017,2017-11-28,2017-11-18,Rodovias,28,11,NOVEMBRO,2017,2017.11,SÁBADO,18:10:00,NOITE,ATIBAIA,Campinas,SP 065,"86,0",ESTADUAL,CONCESSIONÁRIA,ROTA DAS BANDEIRAS,PUBLICO,-23.0546948616679,-46.6614379835379,AUTOMOVEL,PASSAGEIRO,ESTABELECIMENTO DE SAUDE,COLISAO,,Até 30 dias,MASCULINO,40-44,40.0,AUTOMOVEL
100427,2412,2017,2017-11-28,2017-11-28,Rodovias,28,11,NOVEMBRO,2017,2017.11,TERÇA,15:02:00,TARDE,SERRANA,Ribeirão Preto,SP 333,"38,1",ESTADUAL,DER,DR08 - Ribeirão Preto,PRIVADO,-21.1954452726561,-47.5984599329493,AUTOMOVEL,CONDUTOR,VIA,OUTROS,,Mesmo dia,MASCULINO,25-29,29.0,NAO DISPONIVEL
130310,2812,2017,2017-11-28,2017-10-23,Vias Municipais,28,11,NOVEMBRO,2017,2017.11,SEGUNDA,15:25:00,TARDE,SAO JOSE DOS CAMPOS,São José dos Campos,AVENIDA JOAO GUILHERMINO X RUA HUMAITA,NAO DISPONIVEL,MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.189596,-45.886972,PEDESTRE,PEDESTRE,ESTABELECIMENTO DE SAUDE,ATROPELAMENTO,,Mais de 30 dias,MASCULINO,80 ou mais,83.0,AUTOMOVEL
10374,11224,2017,2017-11-28,2017-11-28,Vias Municipais,28,11,NOVEMBRO,2017,2017.11,TERÇA,22:00:00,NOITE,SAO PAULO,Metropolitana de São Paulo,AVENIDA SENADOR TEOTONIO VILELA,"1723,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.716717,-46.699155,PEDESTRE,PEDESTRE,VIA,ATROPELAMENTO,,Mesmo dia,MASCULINO,40-44,41.0,AUTOMOVEL
30307,4669,2017,2017-11-28,2017-11-28,Vias Municipais,28,11,NOVEMBRO,2017,2017.11,TERÇA,11:11:00,MANHA,MOGI DAS CRUZES,Metropolitana de São Paulo,AVENIDA ANCHIETA,"1259,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.538737,-46.232682,MOTOCICLETA,CONDUTOR,VIA,COLISAO,,Mesmo dia,FEMININO,25-29,28.0,AUTOMOVEL
